Date,New Case,Recovered,Death,ICU,Daily New Case,Daily Recovered Case,Daily Death Case
2020-01-24,0,0,0,0,0,0,0
2020-01-25,3,0,0,0,3,0,0
2020-01-26,4,0,0,0,1,0,0
2020-01-27,4,0,0,0,0,0,0
2020-01-28,4,0,0,0,0,0,0
2020-01-29,7,0,0,0,3,0,0
2020-01-30,8,0,0,0,1,0,0
2020-01-31,8,0,0,0,0,0,0
2020-02-01,8,0,0,0,0,0,0
2020-02-02,8,0,0,0,0,0,0
2020-02-03,8,0,0,0,0,0,0
2020-02-04,10,0,0,0,2,0,0
2020-02-05,12,1,0,0,2,1,0
2020-02-06,12,1,0,0,0,0,0
2020-02-07,12,1,0,0,0,0,0
2020-02-08,16,2,0,0,4,1,0
2020-02-09,16,3,0,0,0,1,0
2020-02-10,18,3,0,0,2,0,0
2020-02-11,18,3,0,0,0,0,0
2020-02-12,18,3,0,0,0,0,0
2020-02-13,19,3,0,0,1,0,0
2020-02-14,19,7,0,0,0,4,0
2020-02-15,22,7,0,0,3,0,0
2020-02-16,22,8,0,0,0,1,0
2020-02-17,22,9,0,0,0,1,0
2020-02-18,22,11,0,0,0,2,0
2020-02-19,22,15,0,0,0,4,0
2020-02-20,22,17,0,0,0,2,0
2020-02-21,22,17,0,0,0,0,0
2020-02-22,22,17,0,0,0,0,0
2020-02-23,22,18,0,0,0,1,0
2020-02-24,22,20,0,0,0,2,0
2020-02-25,22,20,0,0,0,0,0
2020-02-26,22,20,0,0,0,0,0
2020-02-27,23,22,0,0,1,2,0
2020-02-28,23,22,0,0,0,0,0
2020-02-29,25,22,0,0,2,0,0
2020-03-01,29,22,0,0,4,0,0
2020-03-02,29,22,0,0,0,0,0
2020-03-03,36,22,0,0,7,0,0
2020-03-04,50,22,0,0,14,0,0
2020-03-05,50,22,0,0,0,0,0
2020-03-06,83,22,0,0,33,0,0
2020-03-07,93,23,0,0,10,1,0
2020-03-08,99,24,0,2,6,1,0
2020-03-09,117,24,0,2,18,0,0
2020-03-10,129,25,0,2,12,1,0
2020-03-11,149,26,0,2,20,1,0
2020-03-12,158,32,0,3,9,6,0
2020-03-13,197,32,0,4,39,0,0
2020-03-14,238,35,0,5,41,3,0
2020-03-15,428,42,0,9,190,7,0
2020-03-16,553,42,0,12,125,0,0
2020-03-17,673,49,2,12,120,7,2
2020-03-18,790,60,2,15,117,11,0
2020-03-19,900,75,2,20,110,15,0
2020-03-20,1030,87,2,26,130,12,0
2020-03-21,1183,114,4,37,153,27,2
2020-03-22,1306,139,10,46,123,25,6
2020-03-23,1518,159,14,57,212,20,4
2020-03-24,1624,183,16,64,106,24,2
2020-03-25,1796,199,19,45,172,16,3
2020-03-26,2031,215,23,45,235,16,4
2020-03-27,2161,259,26,54,130,44,3
2020-03-28,2320,320,27,73,159,61,1
2020-03-29,2470,388,34,73,150,68,7
2020-03-30,2626,479,37,94,156,91,3
2020-03-31,2766,537,43,94,140,58,6
2020-04-01,2908,645,45,102,142,108,2
2020-04-02,3116,767,50,105,208,122,5
2020-04-03,3333,827,53,108,217,60,3
2020-04-04,3483,915,57,99,150,88,4
2020-04-05,3662,1005,61,99,179,90,4
2020-04-06,3793,1241,62,102,131,236,1
2020-04-07,3963,1321,63,92,170,80,1
2020-04-08,4119,1487,65,76,156,166,2
2020-04-09,4228,1608,67,72,109,121,2
2020-04-10,4346,1830,70,69,118,222,3
2020-04-11,4530,1995,73,72,184,165,3
2020-04-12,4683,2108,76,66,153,113,3
2020-04-13,4817,2276,77,66,134,168,1
2020-04-14,4987,2478,82,60,170,202,5
2020-04-15,5072,2647,83,56,85,169,1
2020-04-16,5182,2766,84,56,110,119,1
2020-04-17,5251,2967,86,51,69,201,2
2020-04-18,5305,3102,88,49,54,135,2
2020-04-19,5389,3197,89,46,84,95,1
2020-04-20,5425,3295,89,45,36,98,0
2020-04-21,5482,3349,92,43,57,54,3
2020-04-22,5532,3452,93,43,50,103,1
2020-04-23,5603,3542,95,42,71,90,2
2020-04-24,5691,3663,96,41,88,121,1
2020-04-25,5742,3762,98,36,51,99,2
2020-04-26,5780,3862,98,36,38,100,0
2020-04-27,5820,3957,99,37,40,95,1
2020-04-28,5851,4032,100,36,31,75,1
2020-04-29,5945,4087,100,40,94,55,0
2020-04-30,6002,4171,102,36,57,84,2
2020-05-01,6071,4210,103,37,69,39,1
2020-05-02,6176,4326,103,31,105,116,0
2020-05-03,6298,4413,105,27,122,87,2
2020-05-04,6353,4484,105,28,55,71,0
2020-05-05,6383,4567,106,24,30,83,1
2020-05-06,6428,4702,107,22,45,135,1
2020-05-07,6467,4776,107,19,39,74,0
2020-05-08,6535,4864,107,18,68,88,0
2020-05-09,6589,4929,108,18,54,65,1
2020-05-10,6656,5025,108,18,67,96,0
2020-05-11,6726,5113,109,20,70,88,1
2020-05-12,6742,5223,109,16,16,110,0
2020-05-13,6779,5281,111,16,37,58,2
2020-05-14,6819,5351,112,16,40,70,1
2020-05-15,6855,5439,112,14,36,88,0
2020-05-16,6872,5512,113,13,17,73,1
2020-05-17,6894,5571,113,13,22,59,0
2020-05-18,6941,5615,113,13,47,44,0
2020-05-19,6978,5646,114,11,37,31,1
2020-05-20,7009,5706,114,11,31,60,0
2020-05-21,7059,5796,114,10,50,90,0
2020-05-22,7137,5859,115,9,78,63,1
2020-05-23,7185,5912,115,9,48,53,0
2020-05-24,7245,5945,115,9,60,33,0
2020-05-25,7417,5979,115,8,172,34,0
2020-05-26,7604,6041,115,8,187,62,0
2020-05-27,7619,6083,115,8,15,42,0
2020-05-28,7629,6169,115,8,10,86,0
2020-05-29,7732,6235,115,8,103,66,0
2020-05-30,7762,6330,115,9,30,95,0
2020-05-31,7819,6353,115,9,57,23,0
2020-06-01,7857,6404,115,8,38,51,0
2020-06-02,7877,6470,115,6,20,66,0
2020-06-03,7970,6531,115,6,93,61,0
2020-06-04,8247,6559,115,6,277,28,0
2020-06-05,8266,6610,116,6,19,51,1
2020-06-06,8266,6610,116,6,0,0,0
2020-06-07,8322,6674,117,5,56,64,1
2020-06-08,8329,6694,117,6,7,20,0
2020-06-09,8336,6975,117,6,7,281,0
2020-06-10,8338,7014,118,5,2,39,1
2020-06-11,8369,7065,118,5,31,51,0
2020-06-12,8402,7168,119,4,33,103,1
2020-06-13,8445,7311,120,4,43,143,1
2020-06-14,8453,7346,121,4,8,35,1
2020-06-15,8494,7400,121,4,41,54,0
2020-06-16,8505,7733,121,4,11,333,0
2020-06-17,8515,7873,121,4,10,140,0
2020-06-18,8529,8000,121,4,14,127,0
2020-06-19,8535,8070,121,3,6,70,0
2020-06-20,8556,8146,121,3,21,76,0
2020-06-21,8572,8156,121,3,16,10,0
2020-06-22,8587,8177,121,3,15,21,0
2020-06-23,8590,8186,121,3,3,9,0
2020-06-24,8596,8231,121,2,6,45,0
2020-06-25,8600,8271,121,2,4,40,0
2020-06-26,8606,8294,121,2,6,23,0
2020-06-27,8616,8308,121,2,10,14,0
2020-06-28,8634,8318,121,2,18,10,0
2020-06-29,8637,8334,121,4,3,16,0
2020-06-30,8639,8354,121,4,2,20,0
2020-07-01,8640,8375,121,4,1,21,0
2020-07-02,8643,8437,121,2,3,62,0
2020-07-03,8648,8446,121,2,5,9,0
2020-07-04,8658,8461,121,2,10,15,0
2020-07-05,8663,8465,121,2,5,4,0
2020-07-06,8668,8476,121,2,5,11,0
2020-07-07,8674,8481,121,2,6,5,0
2020-07-08,8677,8486,121,2,3,5,0
2020-07-09,8683,8499,121,2,6,13,0
2020-07-10,8696,8511,121,2,13,12,0
2020-07-11,8704,8515,122,2,8,4,1
2020-07-12,8718,8519,122,3,14,4,0
2020-07-13,8725,8520,122,4,7,1,0
2020-07-14,8729,8524,122,6,4,4,0
2020-07-15,8734,8526,122,5,5,2,0
2020-07-16,8737,8538,122,3,3,12,0
2020-07-17,8755,8541,122,3,18,3,0
2020-07-18,8764,8546,122,1,9,5,0
2020-07-19,8779,8553,123,2,15,7,1
2020-07-20,8800,8555,123,3,21,2,0
2020-07-21,8815,8562,123,4,15,7,0
2020-07-22,8831,8566,123,5,16,4,0
2020-07-23,8840,8574,123,5,9,8,0
2020-07-24,8861,8577,123,5,21,3,0
2020-07-25,8884,8594,123,3,23,17,0
2020-07-26,8897,8600,124,2,13,6,1
2020-07-27,8904,8601,124,0,7,1,0
2020-07-28,8943,8607,124,1,39,6,0
2020-07-29,8956,8612,124,2,13,5,0
2020-07-30,8964,8617,124,3,8,5,0
2020-07-31,8976,8644,125,3,12,27,1
2020-08-01,8985,8647,125,2,9,3,0
2020-08-02,8999,8664,125,2,14,17,0
2020-08-03,9001,8668,125,1,2,4,0
2020-08-04,9002,8684,125,0,1,16,0
2020-08-05,9023,8702,125,2,21,18,0
2020-08-06,9038,8713,125,2,15,11,0
2020-08-07,9063,8728,125,2,25,15,0
2020-08-08,9070,8775,125,2,7,47,0
2020-08-09,9083,8784,125,1,13,9,0
2020-08-10,9094,8803,125,1,11,19,0
2020-08-11,9103,8809,125,2,9,6,0
2020-08-12,9114,8817,125,1,11,8,0
2020-08-13,9129,8821,125,2,15,4,0
2020-08-14,9149,8828,125,4,20,7,0
2020-08-15,9175,8831,125,6,26,3,0
2020-08-16,9200,8859,125,7,25,28,0
2020-08-17,9212,8876,125,8,12,17,0
2020-08-18,9219,8902,125,8,7,26,0
2020-08-19,9235,8925,125,7,16,23,0
2020-08-20,9240,8932,125,7,5,7,0
2020-08-21,9249,8945,125,7,9,13,0
2020-08-22,9257,8949,125,8,8,4,0
2020-08-23,9267,8959,125,9,10,10,0
2020-08-24,9274,8965,125,8,7,6,0
2020-08-25,9285,8971,125,8,11,6,0
2020-08-26,9291,8978,125,9,6,7,0
2020-08-27,9296,8994,125,8,5,16,0
2020-08-28,9306,9030,125,8,10,36,0
2020-08-29,9317,9038,125,8,11,8,0
2020-08-30,9334,9048,126,7,17,10,1
2020-08-31,9340,9054,127,6,6,6,1
2020-09-01,9354,9075,128,5,14,21,1
2020-09-02,9360,9079,128,4,6,4,0
2020-09-03,9374,9083,128,4,14,4,0
2020-09-04,9385,9092,128,4,11,9,0
2020-09-05,9391,9113,128,5,6,21,0
2020-09-06,9397,9115,128,6,6,2,0
2020-09-07,9459,9124,128,6,62,9,0
2020-09-08,9559,9136,128,7,100,12,0
2020-09-09,9583,9143,128,7,24,7,0
2020-09-10,9628,9167,128,9,45,24,0
2020-09-11,9810,9181,128,9,182,14,0
2020-09-12,9868,9189,128,9,58,8,0
2020-09-13,9915,9196,128,9,47,7,0
2020-09-14,9946,9203,128,11,31,7,0
2020-09-15,9969,9209,128,14,23,6,0
2020-09-16,10031,9235,128,15,62,26,0
2020-09-17,10052,9250,128,13,21,15,0
2020-09-18,10147,9264,129,11,95,14,1
2020-09-19,10167,9315,130,12,20,51,1
2020-09-20,10219,9355,130,10,52,40,0
2020-09-21,10276,9395,130,9,57,40,0
2020-09-22,10358,9563,130,9,82,168,0
2020-09-23,10505,9602,133,8,147,39,3
2020-09-24,10576,9666,133,6,71,64,0
2020-09-25,10687,9696,133,4,111,30,0
2020-09-26,10769,9785,133,8,82,89,0
2020-09-27,10919,9835,134,6,150,50,1
2020-09-28,11034,9889,134,8,115,54,0
2020-09-29,11135,9939,134,13,101,50,0
2020-09-30,11224,9967,136,16,89,28,2
2020-10-01,11484,10014,136,20,260,47,0
2020-10-02,11771,10095,136,22,287,81,0
2020-10-03,12088,10216,137,29,317,121,1
2020-10-04,12381,10283,137,28,293,67,0
2020-10-05,12813,10340,137,32,432,57,0
2020-10-06,13504,10427,141,31,691,87,4
2020-10-07,13993,10501,141,40,489,74,0
2020-10-08,14368,10519,146,60,375,18,5
2020-10-09,14722,10707,152,68,354,188,6
