date,cases,deaths
13/3/2020,48,0
14/3/2020,41,0
15/3/2020,190,0
16/3/2020,138,0
17/3/2020,107,2
18/3/2020,117,0
19/3/2020,110,0
20/3/2020,130,1
21/3/2020,153,1
22/3/2020,123,6
23/3/2020,212,4
24/3/2020,106,2
25/3/2020,172,4
26/3/2020,235,3
27/3/2020,130,3
28/3/2020,159,1
29/3/2020,150,8
30/3/2020,156,2
31/3/2020,140,6
1/4/2020,142,2
2/4/2020,208,5
3/4/2020,217,3
4/4/2020,150,4
5/4/2020,179,4
6/4/2020,131,1
7/4/2020,170,1
8/4/2020,156,2
9/4/2020,109,2
10/4/2020,118,3
11/4/2020,184,3
12/4/2020,153,3
13/4/2020,134,1
14/4/2020,170,5
15/4/2020,85,1
16/4/2020,110,1
17/4/2020,69,2
18/4/2020,54,2
19/4/2020,84,1
20/4/2020,36,0
21/4/2020,57,3
22/4/2020,50,1
23/4/2020,71,2
24/4/2020,88,1
25/4/2020,51,2
26/4/2020,38,0
27/4/2020,40,1
28/4/2020,31,1
29/4/2020,94,0
30/4/2020,57,2
1/5/2020,69,1
2/5/2020,105,0
3/5/2020,122,2
4/5/2020,55,0
5/5/2020,30,1
6/5/2020,45,1
7/5/2020,39,0
8/5/2020,68,0
9/5/2020,54,1
10/5/2020,67,0
11/5/2020,70,1
12/5/2020,16,0
13/5/2020,37,2
14/5/2020,40,1
15/5/2020,36,0
16/5/2020,17,1
17/5/2020,22,0
18/5/2020,47,0
19/5/2020,37,1
20/5/2020,31,0
21/5/2020,50,0
22/5/2020,78,1
23/5/2020,48,0
24/5/2020,60,0
25/5/2020,172,0
26/5/2020,187,0
27/5/2020,15,0
28/5/2020,10,0
29/5/2020,103,0
30/5/2020,30,0
31/5/2020,57,0
1/6/2020,38,0
2/6/2020,20,0
3/6/2020,93,0
4/6/2020,277,0
5/6/2020,19,1
6/6/2020,37,1
7/6/2020,19,0
8/6/2020,7,0
9/6/2020,7,0
10/6/2020,2,1
11/6/2020,31,0
12/6/2020,33,1
13/6/2020,43,1
14/6/2020,8,1
15/6/2020,41,0
16/6/2020,11,0
17/6/2020,10,0
18/6/2020,14,0
19/6/2020,6,0
20/6/2020,21,0
21/6/2020,16,0
22/6/2020,15,0
23/6/2020,3,0
24/6/2020,6,0
25/6/2020,4,0
26/6/2020,6,0
27/6/2020,10,0
28/6/2020,18,0
29/6/2020,3,0
30/6/2020,2,0
1/7/2020,1,0
2/7/2020,3,0
3/7/2020,5,0
4/7/2020,10,0
5/7/2020,5,0
6/7/2020,5,0
7/7/2020,6,0
8/7/2020,3,0
9/7/2020,6,0
10/7/2020,13,0
11/7/2020,8,1
12/7/2020,14,0
13/7/2020,7,0
14/7/2020,4,0
15/7/2020,5,0
16/7/2020,3,0
17/7/2020,18,0
18/7/2020,9,0
19/7/2020,15,1
20/7/2020,21,0
21/7/2020,15,0
22/7/2020,16,0
23/7/2020,9,0
24/7/2020,21,0
25/7/2020,23,0
26/7/2020,13,1
27/7/2020,7,0
28/7/2020,39,0
29/7/2020,13,0
30/7/2020,8,0
31/7/2020,12,1
1/8/2020,9,0
2/8/2020,14,0
3/8/2020,2,0
4/8/2020,1,0
5/8/2020,21,0
6/8/2020,15,0
7/8/2020,25,0
8/8/2020,7,0
9/8/2020,13,0
10/8/2020,11,0
11/8/2020,9,0
