date,Child,Teenager,Adult,Old,total_death
13/3/2020,0,0,0,0,0
14/3/2020,0,0,0,0,0
15/3/2020,0,0,0,0,0
16/3/2020,0,0,0,0,0
17/3/2020,0,0,1,1,2
18/3/2020,0,0,0,0,0
19/3/2020,0,0,0,0,0
20/3/2020,0,0,1,0,1
21/3/2020,0,0,4,1,5
22/3/2020,0,0,1,1,2
23/3/2020,0,0,2,2,4
24/3/2020,0,0,0,2,2
25/3/2020,0,0,1,3,4
26/3/2020,0,0,1,2,3
27/3/2020,0,0,2,1,3
28/3/2020,0,0,1,0,1
29/3/2020,0,1,3,4,8
30/3/2020,0,0,2,0,2
31/3/2020,0,0,2,4,6
1/4/2020,0,0,0,2,2
2/4/2020,0,0,1,4,5
3/4/2020,0,0,1,2,3
4/4/2020,0,0,4,0,4
5/4/2020,0,0,1,3,4
6/4/2020,0,0,0,1,1
7/4/2020,0,0,0,1,1
8/4/2020,0,0,1,1,2
9/4/2020,0,1,1,0,2
10/4/2020,0,0,0,3,3
11/4/2020,0,0,0,3,3
12/4/2020,0,0,2,1,3
13/4/2020,0,0,0,1,1
14/4/2020,0,0,0,4,5
15/4/2020,0,0,0,1,1
16/4/2020,0,0,0,1,1
17/4/2020,0,0,0,2,2
18/4/2020,0,0,1,1,2
19/4/2020,0,0,1,0,1
20/4/2020,0,0,0,0,0
21/4/2020,0,0,0,3,3
22/4/2020,0,0,0,1,1
23/4/2020,0,0,1,1,2
24/4/2020,0,0,0,1,1
25/4/2020,0,0,0,2,2
26/4/2020,0,0,0,0,0
27/4/2020,0,0,0,1,1
28/4/2020,0,0,0,1,1
29/4/2020,0,0,0,0,0
30/4/2020,0,0,0,2,2
1/5/2020,0,0,0,1,1
2/5/2020,0,0,0,0,0
3/5/2020,0,0,0,2,2
4/5/2020,0,0,0,0,0
5/5/2020,0,0,1,0,1
6/5/2020,0,0,1,0,1
7/5/2020,0,0,0,0,0
8/5/2020,0,0,0,0,0
9/5/2020,0,0,0,1,1
10/5/2020,0,0,0,0,0
11/5/2020,0,0,0,1,1
12/5/2020,0,0,0,0,0
13/5/2020,0,0,1,1,2
14/5/2020,0,0,1,0,1
15/5/2020,0,0,0,0,0
16/5/2020,0,0,1,0,1
17/5/2020,0,0,0,0,0
18/5/2020,0,0,0,0,0
19/5/2020,0,0,0,1,1
20/5/2020,0,0,0,0,0
21/5/2020,0,0,0,0,0
22/5/2020,0,0,0,1,1
23/5/2020,0,0,0,0,0
24/5/2020,0,0,0,0,0
25/5/2020,0,0,0,0,0
26/5/2020,0,0,0,0,0
27/5/2020,0,0,0,0,0
28/5/2020,0,0,0,0,0
29/5/2020,0,0,0,0,0
30/5/2020,0,0,0,0,0
31/5/2020,0,0,0,0,0
1/6/2020,0,0,0,0,0
2/6/2020,0,0,0,0,0
3/6/2020,0,0,0,0,0
4/6/2020,0,0,0,0,0
5/6/2020,0,0,0,1,1
6/6/2020,0,0,0,1,1
7/6/2020,0,0,0,0,0
8/6/2020,0,0,0,0,0
9/6/2020,0,0,0,0,0
10/6/2020,0,0,0,1,1
11/6/2020,0,0,0,0,0
12/6/2020,0,0,0,1,1
13/6/2020,0,0,0,1,1
14/6/2020,0,0,0,1,1
15/6/2020,0,0,0,0,0
16/6/2020,0,0,0,0,0
17/6/2020,0,0,0,0,0
18/6/2020,0,0,0,0,0
19/6/2020,0,0,0,0,0
20/6/2020,0,0,0,0,0
21/6/2020,0,0,0,0,0
22/6/2020,0,0,0,0,0
23/6/2020,0,0,0,0,0
24/6/2020,0,0,0,0,0
25/6/2020,0,0,0,0,0
26/6/2020,0,0,0,0,0
27/6/2020,0,0,0,0,0
