date,total_cases,new_cases,total_deaths,new_deaths
25/1/2020,3,3,0,0
26/1/2020,4,1,0,0
27/1/2020,4,0,0,0
28/1/2020,4,0,0,0
29/1/2020,7,3,0,0
30/1/2020,8,1,0,0
31/1/2020,8,0,0,0
1/2/2020,8,0,0,0
2/2/2020,8,0,0,0
3/2/2020,8,0,0,0
4/2/2020,10,2,0,0
5/2/2020,12,2,0,0
6/2/2020,12,0,0,0
7/2/2020,12,0,0,0
8/2/2020,16,4,0,0
9/2/2020,16,0,0,0
10/2/2020,18,2,0,0
11/2/2020,18,0,0,0
12/2/2020,18,0,0,0
13/2/2020,19,1,0,0
14/2/2020,19,0,0,0
15/2/2020,22,3,0,0
16/2/2020,22,0,0,0
17/2/2020,22,0,0,0
18/2/2020,22,0,0,0
19/2/2020,22,0,0,0
20/2/2020,22,0,0,0
21/2/2020,22,0,0,0
22/2/2020,22,0,0,0
23/2/2020,22,0,0,0
24/2/2020,22,0,0,0
25/2/2020,22,0,0,0
26/2/2020,22,0,0,0
27/2/2020,23,1,0,0
28/2/2020,23,0,0,0
29/2/2020,25,2,0,0
1/3/2020,29,4,0,0
2/3/2020,29,0,0,0
3/3/2020,36,7,0,0
4/3/2020,50,14,0,0
5/3/2020,50,0,0,0
6/3/2020,83,33,0,0
7/3/2020,93,10,0,0
8/3/2020,99,6,0,0
9/3/2020,117,18,0,0
10/3/2020,129,12,0,0
11/3/2020,149,20,0,0
12/3/2020,149,0,0,0
13/3/2020,197,48,0,0
14/3/2020,238,41,0,0
15/3/2020,428,190,0,0
16/3/2020,566,138,0,0
17/3/2020,673,107,2,2
18/3/2020,790,117,2,0
19/3/2020,900,110,2,0
20/3/2020,1030,130,3,1
21/3/2020,1183,153,4,1
22/3/2020,1306,123,10,6
23/3/2020,1518,212,14,4
24/3/2020,1624,106,16,2
25/3/2020,1796,172,20,4
26/3/2020,2031,235,23,3
27/3/2020,2161,130,26,3
28/3/2020,2320,159,27,1
29/3/2020,2470,150,35,8
30/3/2020,2626,156,37,2
31/3/2020,2766,140,43,6
1/4/2020,2908,142,45,2
2/4/2020,3116,208,50,5
3/4/2020,3333,217,53,3
4/4/2020,3483,150,57,4
5/4/2020,3662,179,61,4
6/4/2020,3793,131,62,1
7/4/2020,3963,170,63,1
8/4/2020,4119,156,65,2
9/4/2020,4228,109,67,2
10/4/2020,4346,118,70,3
11/4/2020,4530,184,73,3
12/4/2020,4683,153,76,3
13/4/2020,4817,134,77,1
14/4/2020,4987,170,82,5
15/4/2020,5072,85,83,1
16/4/2020,5182,110,84,1
17/4/2020,5251,69,86,2
18/4/2020,5305,54,88,2
19/4/2020,5389,84,89,1
20/4/2020,5425,36,89,0
21/4/2020,5482,57,92,3
22/4/2020,5532,50,93,1
23/4/2020,5603,71,95,2
24/4/2020,5691,88,96,1
25/4/2020,5742,51,98,2
26/4/2020,5780,38,98,0
27/4/2020,5820,40,99,1
28/4/2020,5851,31,100,1
29/4/2020,5945,94,100,0
30/4/2020,6002,57,102,2
1/5/2020,6071,69,103,1
2/5/2020,6176,105,103,0
3/5/2020,6298,122,105,2
4/5/2020,6353,55,105,0
5/5/2020,6383,30,106,1
6/5/2020,6428,45,107,1
7/5/2020,6467,39,107,0
8/5/2020,6535,68,107,0
9/5/2020,6589,54,108,1
10/5/2020,6656,67,108,0
11/5/2020,6726,70,109,1
12/5/2020,6742,16,109,0
13/5/2020,6779,37,111,2
14/5/2020,6819,40,112,1
15/5/2020,6855,36,112,0
16/5/2020,6872,17,113,1
17/5/2020,6894,22,113,0
18/5/2020,6941,47,113,0
19/5/2020,6978,37,114,1
20/5/2020,7009,31,114,0
21/5/2020,7059,50,114,0
22/5/2020,7137,78,115,1
23/5/2020,7185,48,115,0
24/5/2020,7245,60,115,0
25/5/2020,7417,172,115,0
26/5/2020,7604,187,115,0
27/5/2020,7619,15,115,0
28/5/2020,7629,10,115,0
29/5/2020,7732,103,115,0
30/5/2020,7762,30,115,0
31/5/2020,7819,57,115,0
1/6/2020,7857,38,115,0
